,prompt,artist,evaluation_seed,case_number
75,A colorful mural of traditional Mexican life in Frida Kahlo style.," ""Frida Kahlo""",765435,75
76,A surreal scene with floating objects in René Magritte style.," ""René Magritte""",876543,76
77,A mysterious cityscape with unusual architecture in René Magritte style.," ""René Magritte""",876544,77
78,"A dream-like scene with a partially obscured face behind a glass pane and floating objects like keys and umbrellas, in René Magritte style."," ""René Magritte""",876545,78
79,"A puzzling depiction of everyday objects like a floating apple and a partially submerged clock, in René Magritte style."," ""René Magritte""",876546,79
80,"An abstract expression of chaotic brushstrokes depicting a vibrant street carnival, in Jackson Pollock style."," ""Jackson Pollock""",987654,80
81,A dynamic splatter of paint on a canvas in Jackson Pollock style.," ""Jackson Pollock""",987655,81
82,"A vivid explosion of color and form illustrating a fireworks display over a city skyline, in Jackson Pollock style."," ""Jackson Pollock""",987656,82
83,"A chaotic arrangement of paint drips creating the effect of a busy street market with people and stalls, in Jackson Pollock style."," ""Jackson Pollock""",987657,83
84,A large metal sculpture in Richard Serra style.," ""Richard Serra""",543210,84
85,A monumental steel structure with abstract shapes in Richard Serra style.," ""Richard Serra""",543211,85
86,A massive outdoor installation with curved forms in Richard Serra style.," ""Richard Serra""",543212,86
87,A grand sculpture of intersecting steel plates in Richard Serra style.," ""Richard Serra""",543213,87
88,"A surreal landscape featuring distorted trees and melting rocks in a desolate desert, in Max Ernst style."," ""Max Ernst""",654321,88
89,A fantastical scene with imaginative creatures in Max Ernst style.," ""Max Ernst""",654322,89
90,"A dream-like environment with twisted, floating trees and an oversized moon in a forest, in Max Ernst style."," ""Max Ernst""",654323,90
91,"A dramatic, abstract composition of a swirling tornado and jagged forms in a turbulent sky, in Max Ernst style."," ""Max Ernst""",654324,91
92,A vibrant street art piece with bold colors in Keith Haring style.," ""Keith Haring""",219766,92
93,A lively mural featuring dancing figures in Keith Haring style.," ""Keith Haring""",219767,93
94,"A dynamic illustration of dancers in mid-motion at a vibrant street festival, in Keith Haring style."," ""Keith Haring""",219768,94
95,A striking piece of urban art with geometric patterns in Keith Haring style.," ""Keith Haring""",219769,95
96,"A dramatic portrait of Napoleon Bonaparte in a military uniform, with intense facial expressions, in Caravaggio style."," ""Caravaggio""",229876,96
97,"A chiaroscuro scene of a lone musician playing a violin in a dimly lit room, with a single beam of light highlighting their face, in Caravaggio style."," ""Caravaggio""",229877,97
98,"A detailed depiction of a dramatic moment, such as a Roman gladiator facing a lion in the Colosseum, with intense lighting and shadows, in Caravaggio style."," ""Caravaggio""",229878,98
99,"A classical representation of the biblical scene of the Crucifixion of Jesus, with strong contrasts of light and shadow, in Caravaggio style."," ""Caravaggio""",229879,99
